m063.jpg: 	Time Taken: 0:00:09.717117	Banana Size: 184106	Brown spot: 4.62722562002 %
m064.jpg: 	Time Taken: 0:00:10.010140	Banana Size: 151917	Brown spot: 5.6188576657 %
m065.jpg: 	Time Taken: 0:00:09.912513	Banana Size: 164657	Brown spot: 6.32527010695 %
m066.jpg: 	Time Taken: 0:00:09.508566	Banana Size: 157233	Brown spot: 12.0089294232 %
m067.jpg: 	Time Taken: 0:00:12.342706	Banana Size: 163092	Brown spot: 8.72145782748 %
m068.jpg: 	Time Taken: 0:00:10.076642	Banana Size: 151610	Brown spot: 22.8777785107 %
m069.jpg: 	Time Taken: 0:00:08.766797	Banana Size: 177287	Brown spot: 24.9612210709 %
m070.jpg: 	Time Taken: 0:00:09.473537	Banana Size: 149210	Brown spot: 25.866228805 %
m071.jpg: 	Time Taken: 0:00:10.423473	Banana Size: 162813	Brown spot: 6.57687039733 %
m072.jpg: 	Time Taken: 0:00:10.004317	Banana Size: 165546	Brown spot: 13.0471288947 %
m073.jpg: 	Time Taken: 0:00:09.697478	Banana Size: 178533	Brown spot: 25.8265978839 %
m074.jpg: 	Time Taken: 0:00:09.630276	Banana Size: 135327	Brown spot: 17.16804481 %
m075.jpg: 	Time Taken: 0:00:10.059124	Banana Size: 133382	Brown spot: 14.1705777391 %
m076.jpg: 	Time Taken: 0:00:10.090425	Banana Size: 126975	Brown spot: 15.8306753298 %
m077.jpg: 	Time Taken: 0:00:09.593260	Banana Size: 157653	Brown spot: 21.8321249833 %
m078.jpg: 	Time Taken: 0:00:09.883720	Banana Size: 178168	Brown spot: 17.104081541 %
m079.jpg: 	Time Taken: 0:00:10.587203	Banana Size: 152292	Brown spot: 15.2004044861 %
m080.jpg: 	Time Taken: 0:00:08.340923	Banana Size: 162051	Brown spot: 19.4660940074 %
m081.jpg: 	Time Taken: 0:00:08.571711	Banana Size: 154485	Brown spot: 22.4086480888 %
m082.jpg: 	Time Taken: 0:00:08.791893	Banana Size: 158497	Brown spot: 12.347867783 %
m083.jpg: 	Time Taken: 0:00:08.891599	Banana Size: 166715	Brown spot: 11.2773295744 %
m084.jpg: 	Time Taken: 0:00:09.888662	Banana Size: 152634	Brown spot: 9.36029980214 %
m085.jpg: 	Time Taken: 0:00:09.540247	Banana Size: 130267	Brown spot: 47.6521298564 %
m086.jpg: 	Time Taken: 0:00:10.065781	Banana Size: 140362	Brown spot: 3.50237243698 %
m087.jpg: 	Time Taken: 0:00:10.076022	Banana Size: 136260	Brown spot: 3.68413327462 %
m088.jpg: 	Time Taken: 0:00:09.410353	Banana Size: 143742	Brown spot: 12.2594648746 %
